0,0
-3.032,7.044
0,-5
0,-5
-2.155,5.987
3.378,0.495
1.157,1.707
0.467,2.897
-3.009,4.049
-1.402,2.128
3.817,6.626
-4.773,2.227
-2.675,4.343
1.913,2.046
0,2
0,2
-4.28,3.828
2.334,2.98
0.115,-0.023
4.737,0.972
-3.243,1.735
-1.332,4.093
-4.742,4.666
1.934,0.88
0.499,3.036
0.156,3.061
-0.31,3.187
-0.848,3.072
0.351,2.473
3.344,2.2
-5.111,5.143
-1.008,3.706
-0.244,3.034
0.778,1.882
0.449,2.042
1.373,1.268
-4.136,3.672
-0.012,2.728
-0.497,1.293
0.22,3.049
-4.122,2.74
1.66,4.866
-0.269,2.232
2.216,2.044
-1.491,3.175
-3.691,3.541
-2.475,3.591
0,2
0,2
-1.108,3.314
0.428,0.987
-2.007,2.67
-1.468,2.633
-1.948,4.02
-1.093,2.087
0.399,1.854
-3.59,1.671
-0.722,2.837
-4.166,3.49
5.688,2.088
-0.37,1.848
-1.35,2.954
-6.319,1.19
-2.45,2.124
-1.1,1.544
3.167,1.383
0,0
-3.027,1.987
-1.714,1.871
-0.971,1.978
-3.05,2.218
0.117,2.823
-1.855,2.513
2.321,0.906
-4.742,1.82
-0.029,1.23
-2.742,3.55
-3.906,0.85
-1.297,1.57
-0.447,1.328
-3.716,2.442
2.273,-0.621
4.843,2.921
-8.264,1.7
0.223,0.835
4.446,5.444
-6.787,-1.25
-0.613,2.578
-1.111,1.412
-1.462,1.195
-1.352,-0.377
1.869,0.115
-3.5,3.116
90,-10
0,0
0,0
0.125,0.878
-1.072,1.957
1.194,0.925
-2.539,1.771
-0.097,0.991
-6.084,1.388
3.671,1.379
-1.745,1.821
-1.399,2.768
0.134,1.261
-1.471,1.398
-0.284,-0.554
-1.684,0.992
-2.957,1.705
1.282,2.065
1.929,0.99
-4.427,1.184
-0.506,1.236
-0.543,0.786
-3.732,0.738
-1.174,0.895
2.055,-0.51
0.564,-0.437
1.339,2.167
-1.029,1.834
-4.107,1.939
1.551,0.446
0,0
0,0
1.181,0.018
0,0
0.857,0.783
1.405,0.367
-2.143,1.488
-0.331,1.358
-0.834,2.356
-0.782,1.509
-0.247,1.074
1.391,-0.591
-1.619,1.334
-0.752,1.236
-1.948,2.141
0.555,0.528
1.106,0.394
-0.052,1.775
0.723,6.578
-3.613,-3.399
2.369,0.143
-1.75,0.149
-1.515,1.406
-0.547,1.71
5.561,0.298
-4.723,2.429
-1.401,0.648
0.581,1.121
-5.131,1.034
3.137,1.188
